Timestamp,Cocktail name,Instructions,Ingredients
03/11/2024 19:28:11,A Day at the Beach,"Ingredients Sweet 1 oz Coconut rum 1/2 oz Amaretto 4 oz Orange juice 1/2 oz Grenadine Instructions Shake Rum, Amaretto, and Orange Juice in a shaker filled with ice. Strain over ice into a highball glass. Add Grenadine and garnish with a Pineapple Wedge and a Strawberry.GlassServe: Highball glass","1 oz  Coconut rum, 1/2 oz  Amaretto, 4 oz  Orange juice, 1/2 oz  Grenadine2 oz  Light rum, 4 oz  Ginger beer, 1 twist of  Lemon peel1 oz  Vodka, 1 oz  Peach schnapps, 3 oz  Orange juice, 3 oz  Cranberry juice2 oz  Vodka, 1 oz  Kirschwasser, 1 tsp  Strawberry liqueur, 5  Strawberries, Schweppes Russchian1 oz  Light rum, 1 oz  Añejo rum, 1 oz  Orange juice, 1/2 oz  Lemon juice, 3 oz  Ginger ale, 1 twist of  Lemon peel"
03/11/2024 19:31:52,A Day at the Beach,"Ingredients Sweet 1 oz Coconut rum 1/2 oz Amaretto 4 oz Orange juice 1/2 oz Grenadine Instructions Shake Rum, Amaretto, and Orange Juice in a shaker filled with ice. Strain over ice into a highball glass. Add Grenadine and garnish with a Pineapple Wedge and a Strawberry.GlassServe: Highball glass","1 oz  Coconut rum, 1/2 oz  Amaretto, 4 oz  Orange juice, 1/2 oz  Grenadine2 oz  Light rum, 4 oz  Ginger beer, 1 twist of  Lemon peel1 oz  Vodka, 1 oz  Peach schnapps, 3 oz  Orange juice, 3 oz  Cranberry juice2 oz  Vodka, 1 oz  Kirschwasser, 1 tsp  Strawberry liqueur, 5  Strawberries, Schweppes Russchian1 oz  Light rum, 1 oz  Añejo rum, 1 oz  Orange juice, 1/2 oz  Lemon juice, 3 oz  Ginger ale, 1 twist of  Lemon peel"
03/11/2024 19:31:58,A Furlong Too Late,Ingredients 2 oz Light rum 4 oz Ginger beer 1 twist of Lemon peel Instructions Pour the rum and ginger beer into a highball glass almost filled with ice cubes. Stir well. Garnish with the lemon twist.GlassServe: Highball glass,"1 oz  Coconut rum, 1/2 oz  Amaretto, 4 oz  Orange juice, 1/2 oz  Grenadine2 oz  Light rum, 4 oz  Ginger beer, 1 twist of  Lemon peel1 oz  Vodka, 1 oz  Peach schnapps, 3 oz  Orange juice, 3 oz  Cranberry juice2 oz  Vodka, 1 oz  Kirschwasser, 1 tsp  Strawberry liqueur, 5  Strawberries, Schweppes Russchian1 oz  Light rum, 1 oz  Añejo rum, 1 oz  Orange juice, 1/2 oz  Lemon juice, 3 oz  Ginger ale, 1 twist of  Lemon peel"
03/11/2024 19:32:02,A Gilligan's Island,"Ingredients 1 oz Vodka 1 oz Peach schnapps 3 oz Orange juice 3 oz Cranberry juice Instructions Shaken, not stirred!GlassServe: Collins glass","1 oz  Coconut rum, 1/2 oz  Amaretto, 4 oz  Orange juice, 1/2 oz  Grenadine2 oz  Light rum, 4 oz  Ginger beer, 1 twist of  Lemon peel1 oz  Vodka, 1 oz  Peach schnapps, 3 oz  Orange juice, 3 oz  Cranberry juice2 oz  Vodka, 1 oz  Kirschwasser, 1 tsp  Strawberry liqueur, 5  Strawberries, Schweppes Russchian1 oz  Light rum, 1 oz  Añejo rum, 1 oz  Orange juice, 1/2 oz  Lemon juice, 3 oz  Ginger ale, 1 twist of  Lemon peel"
03/11/2024 19:32:08,A midsummernight dream,"Ingredients 2 oz Vodka 1 oz Kirschwasser 1 tsp Strawberry liqueur 5 Strawberries Schweppes Russchian Instructions Mix the strawberrys in a blender Pour it together with the vodka,kirch and strawberry liquer over ice in a shaker. Shake well and pour in a highballglass. Fill up with the Russchian waterGlassServe: Collins Glass","1 oz  Coconut rum, 1/2 oz  Amaretto, 4 oz  Orange juice, 1/2 oz  Grenadine2 oz  Light rum, 4 oz  Ginger beer, 1 twist of  Lemon peel1 oz  Vodka, 1 oz  Peach schnapps, 3 oz  Orange juice, 3 oz  Cranberry juice2 oz  Vodka, 1 oz  Kirschwasser, 1 tsp  Strawberry liqueur, 5  Strawberries, Schweppes Russchian1 oz  Light rum, 1 oz  Añejo rum, 1 oz  Orange juice, 1/2 oz  Lemon juice, 3 oz  Ginger ale, 1 twist of  Lemon peel"
03/11/2024 19:32:13,A Night In Old Mandalay,"Ingredients 1 oz Light rum 1 oz Añejo rum 1 oz Orange juice 1/2 oz Lemon juice 3 oz Ginger ale 1 twist of Lemon peel Instructions In a shaker half-filled with ice cubes, combine the light rum, añejo rum, orange juice, and lemon juice. Shake well. Strain into a highball glass almost filled with ice cubes. Top with the ginger ale. Garnish with the lemon twist.GlassServe: Highball glass","1 oz  Coconut rum, 1/2 oz  Amaretto, 4 oz  Orange juice, 1/2 oz  Grenadine2 oz  Light rum, 4 oz  Ginger beer, 1 twist of  Lemon peel1 oz  Vodka, 1 oz  Peach schnapps, 3 oz  Orange juice, 3 oz  Cranberry juice2 oz  Vodka, 1 oz  Kirschwasser, 1 tsp  Strawberry liqueur, 5  Strawberries, Schweppes Russchian1 oz  Light rum, 1 oz  Añejo rum, 1 oz  Orange juice, 1/2 oz  Lemon juice, 3 oz  Ginger ale, 1 twist of  Lemon peel"
05/11/2024 06:31:35,A Day at the Beach,"Instructions Shake Rum, Amaretto, and Orange Juice in a shaker filled with ice. Strain over ice into a highball glass. Add Grenadine and garnish with a Pineapple Wedge and a Strawberry.GlassServe: Highball glass","1 oz  Coconut rum, 1/2 oz  Amaretto, 4 oz  Orange juice, 1/2 oz  Grenadine"
05/11/2024 06:31:39,A Furlong Too Late,Instructions Pour the rum and ginger beer into a highball glass almost filled with ice cubes. Stir well. Garnish with the lemon twist.GlassServe: Highball glass,"2 oz  Light rum, 4 oz  Ginger beer, 1 twist of  Lemon peel"
05/11/2024 06:31:43,A Gilligan's Island,"Instructions Shaken, not stirred!GlassServe: Collins glass","1 oz  Vodka, 1 oz  Peach schnapps, 3 oz  Orange juice, 3 oz  Cranberry juice"
05/11/2024 06:31:46,A midsummernight dream,"Instructions Mix the strawberrys in a blender Pour it together with the vodka,kirch and strawberry liquer over ice in a shaker. Shake well and pour in a highballglass. Fill up with the Russchian waterGlassServe: Collins Glass","2 oz  Vodka, 1 oz  Kirschwasser, 1 tsp  Strawberry liqueur, 5  Strawberries, Schweppes Russchian"
05/11/2024 06:31:49,A Night In Old Mandalay,"Instructions In a shaker half-filled with ice cubes, combine the light rum, añejo rum, orange juice, and lemon juice. Shake well. Strain into a highball glass almost filled with ice cubes. Top with the ginger ale. Garnish with the lemon twist.GlassServe: Highball glass","1 oz  Light rum, 1 oz  Añejo rum, 1 oz  Orange juice, 1/2 oz  Lemon juice, 3 oz  Ginger ale, 1 twist of  Lemon peel"
25/11/2024 06:10:31,A Day at the Beach,"Instructions Shake Rum, Amaretto, and Orange Juice in a shaker filled with ice. Strain over ice into a highball glass. Add Grenadine and garnish with a Pineapple Wedge and a Strawberry.GlassServe: Highball glass","1 oz  Coconut rum, 1/2 oz  Amaretto, 4 oz  Orange juice, 1/2 oz  Grenadine"
25/11/2024 06:10:35,A Furlong Too Late,Instructions Pour the rum and ginger beer into a highball glass almost filled with ice cubes. Stir well. Garnish with the lemon twist.GlassServe: Highball glass,"2 oz  Light rum, 4 oz  Ginger beer, 1 twist of  Lemon peel"
25/11/2024 06:10:38,A Gilligan's Island,"Instructions Shaken, not stirred!GlassServe: Collins glass","1 oz  Vodka, 1 oz  Peach schnapps, 3 oz  Orange juice, 3 oz  Cranberry juice"
25/11/2024 06:10:42,A midsummernight dream,"Instructions Mix the strawberrys in a blender Pour it together with the vodka,kirch and strawberry liquer over ice in a shaker. Shake well and pour in a highballglass. Fill up with the Russchian waterGlassServe: Collins Glass","2 oz  Vodka, 1 oz  Kirschwasser, 1 tsp  Strawberry liqueur, 5  Strawberries, Schweppes Russchian"
25/11/2024 06:10:47,A Night In Old Mandalay,"Instructions In a shaker half-filled with ice cubes, combine the light rum, añejo rum, orange juice, and lemon juice. Shake well. Strain into a highball glass almost filled with ice cubes. Top with the ginger ale. Garnish with the lemon twist.GlassServe: Highball glass","1 oz  Light rum, 1 oz  Añejo rum, 1 oz  Orange juice, 1/2 oz  Lemon juice, 3 oz  Ginger ale, 1 twist of  Lemon peel"
25/11/2024 06:10:50,A Piece of Ass,Instructions Put ice in glass. Pour in shots. Fill with Sour Mix.GlassServe: Highball glass,"1 shot  Amaretto, 1 shot  Southern Comfort, cubes Ice, Sour mix"
25/11/2024 06:10:54,A Splash of Nash,Instructions Drop shot glass with banana & melon liquers into a 9 oz hi- ball glass containing soda water and cranberry juice. Drink in one shot.GlassServe: Highball glass,"2 oz  Cranberry juice, 2 oz  Soda water, 0.5 oz  Midori melon liqueur, 0.5 oz  Creme de Banane"
25/11/2024 06:10:58,A True Amaretto Sour,"Instructions Rub the rim of an old fashioned glass with lemon, and dip repeatedly into granulated sugar until it has a good ""frosted"" rim. Shake a jigger of Amaretto with the juice of 1/2 a lemon. Strain into glass and add ice. Garnish with a Marachino Cherry.GlassServe: Old-fashioned glass","1 jigger  Amaretto, Juice of 1/2  Lemon, Ice, Maraschino cherry"
25/11/2024 06:11:01,A. J.,"Instructions Shake ingredients with ice, strain into a cocktail glass, and serve.GlassServe: Cocktail glass","1 1/2 oz  Applejack, 1 oz  Grapefruit juice"
25/11/2024 06:11:04,A.D.M. (After Dinner Mint),Instructions shake vigorouslyGlassServe: Irish coffee cup,"1/2 oz  White Creme de Menthe, 3/4 oz  Southern Comfort, 1/2 oz  Vodka, Fill with  Hot chocolate"
25/11/2024 06:21:42,A1,"Instructions Pour all ingredients into a cocktail shaker, mix and serve over ice into a chilled glass.GlassServe: Cocktail glass","1 3/4 shot  Gin, 1 Shot  Grand Marnier, 1/4 Shot Lemon Juice, 1/8 Shot Grenadine"
25/11/2024 06:21:48,Abbey Cocktail,Instructions Shake all ingredients (except for the cherry) with ice and strain into a cocktail glass. Top with the cherry and serve.GlassServe: Cocktail glass,"1 1/2 oz  Gin, 1 dash  Orange bitters, Juice of 1/4  Orange, 1  Cherry"
25/11/2024 06:21:52,Abbey Martini,"Instructions Put all ingredients into a shaker and mix, then strain contents into a chilled cocktail glass.GlassServe: Cocktail glass","2 shots  Gin, 1 shot  Sweet Vermouth, 1 shot  Orange Juice, 3 dashes  Angostura Bitters"
25/11/2024 06:21:55,ABC,Instructions Layered in a shot glass.GlassServe: Shot glass,"1/3  Amaretto, 1/3  Baileys irish cream, 1/3  Cognac"
25/11/2024 06:21:58,Abilene,Instructions Pour all of the ingredients into a highball glass almost filled with ice cubes. Stir well.GlassServe: Highball glass,"1 1/2 oz  Dark rum, 2 oz  Peach nectar, 3 oz  Orange juice"
25/11/2024 06:22:02,Absinthe #2,"Instructions Mix together and let sit a few days. Strain through a coffee filter. To serve mix 1 part absinthe to 4 parts water, add ice, enjoy.GlassServe: Jar","1 bottle  Vodka, 50 gr  Sugar, 50 ml pure  Anise, 1 tblsp  Licorice root, 1  Wormwood"
25/11/2024 06:22:06,Absolut Evergreen,"Instructions Mix, pour over ice and top up with Bitter Lemon.GlassServe: Collins Glass","2/3 part  Absolut Citron, 1/3 part  Pisang Ambon, cubes Ice, Bitter lemon"
25/11/2024 06:22:10,Absolut limousine,Instructions Fill Absolut into a glass. Add Lime juice. Add Ice and lime wedges.GlassServe: Collins Glass,"2/3  Absolut Citron, 1/3  Lime juice, Fill with  Ice, Top it up with  Tonic water"
25/11/2024 06:22:13,Absolut Sex,"Instructions Shake Absolut Kurant, Midori, and Cranberry juice in shaker with ice: Strain into rocks glass: Splash of seven on top.Absolut Sex.GlassServe: Old-fashioned glass","3/4 oz  Absolut Kurant, 3/4 oz  Midori melon liqueur, 1 oz  Cranberry juice, 1 splash  Sprite"
25/11/2024 06:22:17,Absolut Stress #2,Instructions Mix well. Garnish with Orange and Cherry. EnjoyGlassServe: Collins Glass,"1 1/2 oz  Absolut Vodka, 1/2 oz  Peach schnapps, 1/2 oz  Coconut liqueur, 1 1/2 oz  Cranberry juice, 1 1/2 oz  Pineapple juice"
25/11/2024 06:23:21,Absolut Summertime,Instructions Add all ingredients except lemon to shaker filled with ice. Cover and shake vigorously. Strain contents into ice filled collins glass. Garnish with lemon.GlassServe: Collins glass,"1 1/2 oz  Absolut Citron, 3/4 oz  Sweet and sour, 1/2 oz  Sprite, 3 oz  Soda water, 1 slice  Lemon"
25/11/2024 06:23:25,Absolutely Cranberry Smash,Instructions Stir ingredients together. Serve over ice.GlassServe: Cocktail glass,"2 oz  Absolut Vodka, 4 oz  Cranberry juice, 2 oz  Ginger ale, Add  Ice"
25/11/2024 06:23:30,Absolutely Fabulous,Instructions Mix the Vodka and Cranberry juice together in a shaker and strain into a glass. Top up with Champagne.GlassServe: Champagne flute,"1 shot  Vodka, 2 shots  Cranberry Juice, Top up with Champagne"
25/11/2024 06:23:35,Absolutly Screwed Up,"Instructions Shake it up it tasts better that way, but you can stir it if you want. 6 of those and you will be wasted for the rest of the night.GlassServe: Collins glass","1 shot  Absolut Citron, 1 shot  Orange juice, 1 shot  Triple sec, Fill to top  Ginger ale"
25/11/2024 06:23:39,Acapulco,Instructions Combine and shake all ingredients (except mint) with ice and strain into an old-fashioned glass over ice cubes. Add the sprig of mint and serve.GlassServe: Old-fashioned glass,"1 1/2 oz  Light rum, 1 1/2 tsp  Triple sec, 1 tblsp  Lime juice, 1 tsp  Sugar, 1  Egg white, 1  Mint"
25/11/2024 06:23:42,Ace,Instructions Shake all the ingredients in a cocktail shaker and ice then strain in a cold glass.GlassServe: Martini Glass,"2 shots  Gin, 1/2 shot  Grenadine, 1/2 shot  Heavy cream, 1/2 shot Milk, 1/2 Fresh Egg White"
25/11/2024 06:23:46,ACID,Instructions Poor in the 151 first followed by the 101 served with a Coke or Dr Pepper chaser.GlassServe: Shot glass,"1 oz Bacardi  151 proof rum, 1 oz  Wild Turkey"
25/11/2024 06:25:04,Absolut Summertime,Instructions Add all ingredients except lemon to shaker filled with ice. Cover and shake vigorously. Strain contents into ice filled collins glass. Garnish with lemon.GlassServe: Collins glass,"1 1/2 oz  Absolut Citron, 3/4 oz  Sweet and sour, 1/2 oz  Sprite, 3 oz  Soda water, 1 slice  Lemon"
25/11/2024 06:26:04,Absolut Summertime,Instructions Add all ingredients except lemon to shaker filled with ice. Cover and shake vigorously. Strain contents into ice filled collins glass. Garnish with lemon.GlassServe: Collins glass,"1 1/2 oz  Absolut Citron, 3/4 oz  Sweet and sour, 1/2 oz  Sprite, 3 oz  Soda water, 1 slice  Lemon"
25/11/2024 06:26:10,Absolutely Cranberry Smash,Instructions Stir ingredients together. Serve over ice.GlassServe: Cocktail glass,"2 oz  Absolut Vodka, 4 oz  Cranberry juice, 2 oz  Ginger ale, Add  Ice"
25/11/2024 06:26:14,Absolutely Fabulous,Instructions Mix the Vodka and Cranberry juice together in a shaker and strain into a glass. Top up with Champagne.GlassServe: Champagne flute,"1 shot  Vodka, 2 shots  Cranberry Juice, Top up with Champagne"
25/11/2024 06:26:19,Absolutly Screwed Up,"Instructions Shake it up it tasts better that way, but you can stir it if you want. 6 of those and you will be wasted for the rest of the night.GlassServe: Collins glass","1 shot  Absolut Citron, 1 shot  Orange juice, 1 shot  Triple sec, Fill to top  Ginger ale"
25/11/2024 06:26:22,Acapulco,Instructions Combine and shake all ingredients (except mint) with ice and strain into an old-fashioned glass over ice cubes. Add the sprig of mint and serve.GlassServe: Old-fashioned glass,"1 1/2 oz  Light rum, 1 1/2 tsp  Triple sec, 1 tblsp  Lime juice, 1 tsp  Sugar, 1  Egg white, 1  Mint"
25/11/2024 06:26:26,Ace,Instructions Shake all the ingredients in a cocktail shaker and ice then strain in a cold glass.GlassServe: Martini Glass,"2 shots  Gin, 1/2 shot  Grenadine, 1/2 shot  Heavy cream, 1/2 shot Milk, 1/2 Fresh Egg White"
25/11/2024 06:26:30,ACID,Instructions Poor in the 151 first followed by the 101 served with a Coke or Dr Pepper chaser.GlassServe: Shot glass,"1 oz Bacardi  151 proof rum, 1 oz  Wild Turkey"
25/11/2024 06:26:34,Adam,"Instructions In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass.GlassServe: Cocktail glass","2 oz  Dark rum, 1 oz  Lemon juice, 1 tsp  Grenadine"
25/11/2024 06:26:38,Adam & Eve,Instructions Shake together all the ingredients and strain into a cold glass.GlassServe: Cocktail glass,"1 shot  Gin, 1 shot  Cognac, 1 shot  Creme de Cassis, 1/8 shot  Fresh Lemon Juice"
25/11/2024 06:26:42,Adam Bomb,"Instructions Add ice to blender (or to glass if prefer on the rocks) then fruit, and fruite juice depending on personal prefference then add the Rum, Vodka, Tequila, and triple sec. blend till smooth, rim glass with sugar or salt and pour mixture in. garnish with lemon or lime slice.GlassServe: Margarita/Coupette glass","1 part  Rum, 1 part  Vodka, 1 part  Tequila, 1/2 part  Triple sec, Fruit, Ice, 1-3 pint  Salt, Fruit juice"
25/11/2024 06:29:56,Adam Sunrise,"Instructions Fill blender up with ice. Fill half with Bartons Vodka. Put 10 tsp of sugar, add 1/2 can lemonade concentrate, fill to top with water. Blend for 60 seconds.GlassServe: Collins Glass","1/2  Vodka, 1/2 can  Lemonade, 1/2  Water, 10 tsp  Sugar"
25/11/2024 06:30:01,Addington,Instructions Mix both the vermouth's in a shaker and strain into a cold glass. Top up with a squirt of Soda Water. GlassServe: Cocktail glass,"2 shots  Sweet Vermouth, 1 shot  Dry Vermouth, Top up with Soda Water"
25/11/2024 06:30:05,Addison,Instructions Shake together all the ingredients and strain into a cold glass.GlassServe: Martini Glass,"1 1/2 shot  Gin, 1 1/2 shot  Vermouth"
25/11/2024 06:30:09,Addison Special,Instructions Combine ingredients in the order listed into a shaker. Fill half full with ice and shake well. Strain into glass with ice and garnish with a cherry and orange wedge.GlassServe: Old-fashioned glass,"1 shot  Vodka, 1 tblsp  Grenadine, Fill with  Orange juice"
25/11/2024 06:30:12,Adios Amigos Cocktail,Instructions Shake together all the ingredients and strain into a cold glass.GlassServe: Martini Glass,"1 shot  Rum, 1/2 shot  Dry Vermouth, 1/2 shot  Cognac, 1/2 shot  Gin, 1/4 shot Fresh Lime Juice, 1/4 shot Sugar Syrup, 1/2 shot  Water"
25/11/2024 06:30:15,Adonis Cocktail,"Instructions Stir all ingredients with ice, strain contents into a cocktail glass, and serve.GlassServe: Cocktail glass","3/4 oz  Sweet Vermouth, 1 1/2 oz dry  Sherry, 1 dash  Orange bitters"
25/11/2024 06:30:19,Affair,"Instructions Pour schnapps, orange juice, and cranberry juice over ice in a highball glass. Top with club soda and serve.GlassServe: Highball glass","2 oz  Strawberry schnapps, 2 oz  Orange juice, 2 oz  Cranberry juice, Club soda"
25/11/2024 06:30:23,Affinity,"Instructions In a mixing glass half-filled with ice cubes, combine all of the ingredients. Stir well. Strain into a cocktail glass.GlassServe: Cocktail glass","1 1/2 oz  Scotch, 1 oz  Sweet Vermouth, 1 oz  Dry Vermouth, 2 dashes  Orange bitters"
25/11/2024 06:30:26,After Dinner Cocktail,Instructions Shake all ingredients (except lime wedge) with ice and strain into a cocktail glass. Add the wedge of lime and serve.GlassServe: Cocktail glass,"1 oz  Apricot brandy, 1 oz  Triple sec, Juice of 1  Lime, 1  Lime"
25/11/2024 06:30:32,After Five,"Instructions 1. Pour Kahlua into shot glass to about 1/2 full. 2. Using a spoon(inverted), slowly pour in the Peppermint Schnapps until glass is about 3/4 full. Done correctly, the Schnapps will flow under the Kahlua for a clear layer. 3. Again using a spoon, but this time right side up, slowly top off the glass with a layer of Bailey's. Be careful to place the spoon right at the top of the Kahlua layer and to raise it as the glass fills up. Done correctly, this will provide a layer of Bailey's floating over the Kahlua. 4. Toss it down all at once for something like a Peppermint Pattie, WITH A BANG!!! NOTE: Best if all ingredients are chilledGlassServe: Shot glass","Peppermint schnapps, Kahlua, Baileys irish cream"
25/11/2024 06:31:32,After sex,Instructions Pour the vodka and creme over some ice cubes in a tall glass and fill up with juice. to make it beuty full make the top of the glass with a grenadine and sugarGlassServe: Highball glass,"2 cl  Vodka, 1 cl  Creme de Banane, Orange juice"
25/11/2024 06:32:42,After sex,Instructions Pour the vodka and creme over some ice cubes in a tall glass and fill up with juice. to make it beuty full make the top of the glass with a grenadine and sugarGlassServe: Highball glass,"2 cl  Vodka, 1 cl  Creme de Banane, Orange juice"
25/11/2024 06:32:46,After Supper Cocktail,"Instructions Shake all ingredients with ice, strain into a cocktail glass, and serve.GlassServe: Cocktail glass","1 oz  Triple sec, 1 oz  Apricot brandy, 1/2 tsp  Lemon juice"
25/11/2024 06:32:49,Afterglow,Instructions Mix. Serve over ice.GlassServe: Highball Glass,"1 part  Grenadine, 4 parts  Orange juice, 4 parts  Pineapple juice"
